,id,name,symbol,is_active
0,1,Bitcoin,BTC,1
1,2,Litecoin,LTC,1
2,3,Namecoin,NMC,1
3,4,Terracoin,TRC,1
4,5,Peercoin,PPC,1
5,6,Novacoin,NVC,1
6,8,Feathercoin,FTC,1
7,10,Freicoin,FRC,1
8,13,Ixcoin,IXC,1
9,16,WorldCoin,WDC,1
10,18,Digitalcoin,DGC,1
11,25,Goldcoin,GLC,1
12,35,Phoenixcoin,PXC,1
13,42,Primecoin,XPM,1
14,43,Anoncoin,ANC,1
15,45,CasinoCoin,CSC,1
16,52,XRP,XRP,1
17,53,Quark,QRK,1
18,56,Zetacoin,ZET,1
19,61,TagCoin,TAG,1
20,64,Public Index Network,PIN,1
21,66,Nxt,NXT,1
22,67,Unobtanium,UNO,1
23,69,Datacoin,DTC,1
24,72,Deutsche eMark,DEM,1
25,74,Dogecoin,DOGE,1
26,77,Diamond,DMD,1
27,78,HoboNickels,HBN,1
28,80,Orbitcoin,ORB,1
29,83,Omni,OMNI,1
30,87,FedoraCoin,TIPS,1
31,90,Dimecoin,DIME,1
32,93,42-coin,42,1
33,99,Vertcoin,VTC,1
34,109,DigiByte,DGB,1
35,118,ReddCoin,RDD,1
36,120,Nyancoin,NYAN,1
37,122,PotCoin,POT,1
38,128,Maxcoin,MAX,1
39,131,Dash,DASH,1
40,132,Counterparty,XCP,1
41,141,MintCoin,MINT,1
42,145,DopeCoin,DOPE,1
43,148,Auroracoin,AUR,1
44,154,Marscoin,MARS,1
45,162,Magic Internet Money,MIM,1
46,168,Uniform Fiscal Object,UFO,1
47,170,BlackCoin,BLK,1
48,182,Myriad,XMY,1
49,184,DNotes,NOTE,1
50,201,Einsteinium,EMC2,1
51,213,MonaCoin,MONA,1
52,215,Rubycoin,RBY,1
53,217,Bela,BELA,1
54,258,Groestlcoin,GRS,1
55,260,PetroDollar,XPD,1
56,263,PLNcoin,PLNC,1
57,268,WhiteCoin,XWC,1
58,276,Bitstar,BITS,1
59,278,Quebecoin,QBC,1
60,290,BlueCoin,BLU,1
61,291,MaidSafeCoin,MAID,1
62,293,Bitcoin Plus,XBC,1
63,298,NewYorkCoin,NYC,1
64,313,Pinkcoin,PINK,1
65,316,Dreamcoin,DRM,1
66,328,Monero,XMR,1
67,333,Curecoin,CURE,1
68,360,Motocoin,MOTO,1
69,362,CloakCoin,CLOAK,1
70,366,BitSend,BSD,1
71,367,Coin2.1,C2,1
72,372,Bytecoin,BCN,1
73,377,Navcoin,NAV,1
74,389,Startcoin,START,1
75,405,DigitalNote,XDN,1
76,416,HempCoin,THC,1
77,448,Stealth,XST,1
78,460,Clams,CLAM,1
79,463,BitShares,BTS,1
80,470,Viacoin,VIA,1
81,501,Cryptonite,XCN,1
82,502,Carboncoin,CARBON,1
83,506,CannabisCoin,CANN,1
84,512,Stellar,XLM,1
85,541,Syscoin,SYS,1
86,551,Donu,DONU,1
87,558,Emercoin,EMC,1
88,572,RabbitCoin,RBBT,1
89,576,GameCredits,GAME,1
90,584,NativeCoin,N8V,1
91,588,Ubiq,UBQ,1
92,597,Opal,OPAL,1
93,601,Acoin,ACOIN,1
94,624,bitCNY,BITCNY,1
95,638,Trollcoin,TROLL,1
96,644,GlobalBoost-Y,BSTY,1
97,656,Prime-XI,PXI,1
98,659,Bitswift,BITS,1
99,664,SeedCoin,SEED,1
100,693,Verge,XVG,1
101,702,SpreadCoin,SPR,1
102,703,Rimbit,RBT,1
103,707,Blocknet,BLOCK,1
104,720,Crown,CRW,1
105,730,GCN Coin,GCN,1
106,733,Quotient,XQN,1
107,760,Okcash,OK,1
108,764,PayCoin,XPY,1
109,788,Circuits of Value,COVAL,1
110,789,Nexus,NXS,1
111,799,SmileyCoin,SMLY,1
112,815,Kobocoin,KOBO,1
113,819,Bean Cash,BITB,1
114,825,Tether,USDT,1
115,831,Wild Beast Block,WBB,1
116,833,Gridcoin,GRC,1
117,837,X-Coin,XCO,1
118,853,LiteDoge,LDOGE,1
119,857,SongCoin,SONG,1
120,859,Woodcoin,LOG,1
121,873,NEM,XEM,1
122,894,Neutron,NTRN,1
123,895,Xaurum,XAUR,1
124,898,Californium,CF,1
125,911,Advanced Internet Blocks,AIB,1
126,916,MedicCoin,MEDIC,1
127,918,Bubble,BUB,1
128,921,Universal Currency,UNIT,1
129,934,ParkByte,PKB,1
130,938,ARbit,ARB,1
131,945,Bata,BTA,1
